USER_ID;OSM_ID;RATING
5-Data in Destiny;7091616935;4
5-Data in Destiny;712608636;5
5-Data in Destiny;8519878955;4
5-Data in Destiny;8128785390;4
5-Data in Destiny;7826688994;5
5-Data in Destiny;4095400151;5
6-Data in Destiny;9880301426;4
6-Data in Destiny;9813646886;4
6-Data in Destiny;1519474203;5
6-Data in Destiny;564670042;5
6-Data in Destiny;703057903;4
6-Data in Destiny;4095400151;5
6-Data in Destiny;4095400186;4
6-Data in Destiny;4395329792;3
6-Data in Destiny;5109346567;4
6-Data in Destiny;534878149;2
7-Data in Destiny;9880301426;4
7-Data in Destiny;9813646886;5
7-Data in Destiny;1519474203;5
7-Data in Destiny;39666027;4
7-Data in Destiny;246249861;5
7-Data in Destiny;4095400151;5
7-Data in Destiny;4095400186;5
7-Data in Destiny;7826688994;3
7-Data in Destiny;712608636;3
7-Data in Destiny;7439496294;4
8-Data in Destiny;9880301426;3
8-Data in Destiny;9813646886;5
8-Data in Destiny;1519474203;4
8-Data in Destiny;39666027;4
8-Data in Destiny;8128785390;5
8-Data in Destiny;4095400151;2
8-Data in Destiny;4095400186;5
8-Data in Destiny;7826688994;3
8-Data in Destiny;712608636;3
8-Data in Destiny;7439496294;4
9-Data in Destiny;9880301426;5
9-Data in Destiny;534876365;3
9-Data in Destiny;1519474203;4
9-Data in Destiny;2424724937;2
9-Data in Destiny;8128785390;5
9-Data in Destiny;4095400151;2
9-Data in Destiny;4095400186;5
9-Data in Destiny;7826688994;3
9-Data in Destiny;712608636;3
9-Data in Destiny;7439496294;4
10-Data in Destiny;9880301426;3
10-Data in Destiny;9813646886;3
10-Data in Destiny;1519474203;4
10-Data in Destiny;2424724937;2
10-Data in Destiny;8128785390;4
10-Data in Destiny;4095400151;5
10-Data in Destiny;4109460415;5
10-Data in Destiny;7826688994;3
10-Data in Destiny;712608636;4
10-Data in Destiny;7439496294;5
11-Data in Destiny;380094845;5
11-Data in Destiny;247766478;4
12-Data in Destiny;247766478;4
12-Data in Destiny;359692293;2
13-Data in Destiny;359692293;4
14-Data in Destiny;2570468652;5
14-Data in Destiny;359691092;4
14-Data in Destiny;380488748;5
14-Data in Destiny;560157037;4
14-Data in Destiny;247766478;4
14-Data in Destiny;4434577593;5
14-Data in Destiny;359687975;5
14-Data in Destiny;2955638928;5
15-Data in Destiny;246249861;4
15-Data in Destiny;359692293;4
15-Data in Destiny;47162000;4
15-Data in Destiny;359691092;4
15-Data in Destiny;246249861;3
15-Data in Destiny;282655581;4
16-Data in Destiny;4434577593;5
16-Data in Destiny;386536801;4
16-Data in Destiny;2466736061;4
16-Data in Destiny;247766478;4
16-Data in Destiny;41217199;4
16-Data in Destiny;471628000;3
16-Data in Destiny;359687037;4
16-Data in Destiny;359692293;4
16-Data in Destiny;359690786;4
17-Data in Destiny;359691979;5
17-Data in Destiny;359692293;5
17-Data in Destiny;534878149;5
17-Data in Destiny;4095401193;5
17-Data in Destiny;6223030513;4
18-Data in Destiny;405400186;4
18-Data in Destiny;247766478;5
18-Data in Destiny;380094845;4
18-Data in Destiny;2466736061;4
18-Data in Destiny;471628000;4
18-Data in Destiny;4095400151;5
19-Data in Destiny;471628000;4
19-Data in Destiny;574685031;3
19-Data in Destiny;4358977790;3
19-Data in Destiny;282655581;4
19-Data in Destiny;380094845;4
19-Data in Destiny;1519474203;3
19-Data in Destiny;359687037;2
20-Data in Destiny;471628000;4
20-Data in Destiny;4358977790;4
20-Data in Destiny;8199027204;5
20-Data in Destiny;246249861;2
20-Data in Destiny;380094845;4
20-Data in Destiny;1519474203;3
21-Data in Destiny;6223030513;3
21-Data in Destiny;247766478;4
21-Data in Destiny;2466736061;4
21-Data in Destiny;471628000;3
21-Data in Destiny;246249861;3
21-Data in Destiny;574685031;3
21-Data in Destiny;4358977790;4
21-Data in Destiny;8199027204;3
21-Data in Destiny;359687037;4
21-Data in Destiny;3483494147;4
22-Data in Destiny;3483494147;3
22-Data in Destiny;247766478;3
22-Data in Destiny;8199027204;3
22-Data in Destiny;471628000;4
22-Data in Destiny;4095400186;4
22-Data in Destiny;359685942;5
22-Data in Destiny;1519474203;3
22-Data in Destiny;359687037;4
23-Data in Destiny;3483494147;3
23-Data in Destiny;247766478;3
23-Data in Destiny;8199027204;3
23-Data in Destiny;471628000;4
23-Data in Destiny;4095400186;4
23-Data in Destiny;359685942;5
23-Data in Destiny;1519474203;3
23-Data in Destiny;359687037;4
1-Kool and the floating point;300428220;4
1-Kool and the floating point;270908998;3
1-Kool and the floating point;359692073;4
1-Kool and the floating point;359701183;2
1-Kool and the floating point;382989332;1
1-Kool and the floating point;441314886;5
1-Kool and the floating point;471628000;4
1-Kool and the floating point;548913444;3
1-Kool and the floating point;412728346;3
1-Kool and the floating point;548920700;2
2-Kool and the floating point;564888543;5
2-Kool and the floating point;1328945988;4
2-Kool and the floating point;2795232150;1
2-Kool and the floating point;4095400192;1
2-Kool and the floating point;4095987422;2
2-Kool and the floating point;4095987437;4
2-Kool and the floating point;703057906;4
2-Kool and the floating point;556746551;3
2-Kool and the floating point;4095987422;5
2-Kool and the floating point;7858249070;2
3-Kool and the floating point;49023482;3
3-Kool and the floating point;41217199;3
3-Kool and the floating point;441314886;2
3-Kool and the floating point;359693315;2
3-Kool and the floating point;247766478;2
3-Kool and the floating point;246249861;3
3-Kool and the floating point;359688178;4
3-Kool and the floating point;359692073;1
3-Kool and the floating point;277746978;5
3-Kool and the floating point;359701183;4
4-Kool and the floating point;534878149;5
4-Kool and the floating point;564888514;5
4-Kool and the floating point;4009059218;3
4-Kool and the floating point;3275087003;2
4-Kool and the floating point;4095987426;4
4-Kool and the floating point;4395329792;3
4-Kool and the floating point;5770385052;2
4-Kool and the floating point;7312246385;1
4-Kool and the floating point;7826688994;1
4-Kool and the floating point;9097117333;4
5-Kool and the floating point;4109460415;3
5-Kool and the floating point;359701183;4
5-Kool and the floating point;564888514;5
5-Kool and the floating point;359693315;1
5-Kool and the floating point;277746978;3
5-Kool and the floating point;534878149;5
5-Kool and the floating point;4095400186;5
5-Kool and the floating point;4095987436;4
5-Kool and the floating point;4095987419;5
5-Kool and the floating point;4095400151;5
6-Kool and the floating point;4109460415;2
6-Kool and the floating point;359701183;3
6-Kool and the floating point;564888514;4
6-Kool and the floating point;359693315;3
6-Kool and the floating point;277746978;4
6-Kool and the floating point;534878149;5
6-Kool and the floating point;4095400186;3
6-Kool and the floating point;4095987436;3
6-Kool and the floating point;4095987419;5
6-Kool and the floating point;4095400151;4
7-Kool and the floating point;4109460415;3
7-Kool and the floating point;359701183;4
7-Kool and the floating point;564888514;3
7-Kool and the floating point;359693315;1
7-Kool and the floating point;277746978;4
7-Kool and the floating point;534878149;5
7-Kool and the floating point;4095400186;4
7-Kool and the floating point;4095987436;4
7-Kool and the floating point;4095987419;5
7-Kool and the floating point;4095400151;4
8-Kool and the floating point;4109460415;1
8-Kool and the floating point;359701183;4
8-Kool and the floating point;564888514;4
8-Kool and the floating point;359693315;2
8-Kool and the floating point;277746978;3
8-Kool and the floating point;534878149;5
8-Kool and the floating point;4095400186;5
8-Kool and the floating point;4095987436;3
8-Kool and the floating point;4095987419;5
8-Kool and the floating point;4095400151;3
9-Kool and the floating point;6223030513;5
9-Kool and the floating point;359687037;4
9-Kool and the floating point;8550952236;4
9-Kool and the floating point;574685031;2
9-Kool and the floating point;247766478;3
9-Kool and the floating point;2466736061;4
9-Kool and the floating point;4095400186;4
9-Kool and the floating point;4816412579;5
9-Kool and the floating point;8128785390;3
9-Kool and the floating point;9581108183;3
10-Kool and the floating point;6223030513;5
10-Kool and the floating point;4095400186;4
10-Kool and the floating point;4816412579;5
10-Kool and the floating point;4095987428;5
10-Kool and the floating point;247766478;4
10-Kool and the floating point;8128785390;1
10-Kool and the floating point;7503079102;3
10-Kool and the floating point;574685031;2
10-Kool and the floating point;471628000;1
10-Kool and the floating point;246249861;4
11-Kool and the floating point;6223030513;5
11-Kool and the floating point;471628000;2
11-Kool and the floating point;4095400186;4
11-Kool and the floating point;7503079102;3
11-Kool and the floating point;359687037;3
11-Kool and the floating point;8128785390;2
11-Kool and the floating point;247766478;4
11-Kool and the floating point;4095987428;5
11-Kool and the floating point;534878149;4
11-Kool and the floating point;4095400191;2
12-Kool and the floating point;4434577593;5
12-Kool and the floating point;135915056;5
12-Kool and the floating point;359687037;3
12-Kool and the floating point;380488748;4
12-Kool and the floating point;246249861;5
12-Kool and the floating point;359692293;3
12-Kool and the floating point;247766478;4
12-Kool and the floating point;7503079102;5
12-Kool and the floating point;2466736061;4
12-Kool and the floating point;270908998;5
100-S3J;277746978;5
100-S3J;146901561;4
100-S3J;6223030513;3
100-S3J;380094845;4
100-S3J;561524250;5
100-S3J;359690720;4
100-S3J;6504247617;3
100-S3J;4985409623;2
100-S3J;548920489;4
100-S3J;4095987428;5
100-S3J;4095400186;5
100-S3J;4358977790;4
101-S3J;39666027;2
101-S3J;115570125;3
101-S3J;4095400186;4
